port,corruption,compliant,psma,mcs,traffic,hotspot,fv_traffic,accessibility,entry,comms,supplies,foc_visits,china,dc_china,mcs2,foc_visits3,foc_visits2,traffic2,trafficx,fv_trafficx,fv_traffic2,fv_traffic3,hotspot2
ZHOUSHAN,45,3,0,5,1219,1703,235,1,1,1,2,141,1,1,1,2,1,4,1,1,3,4,3
PORT LOUIS,50,3,1,3,106,904,54,0,0,2,0,74,0,0,1,2,1,4,1,1,3,3,2
BUSAN,63,1,1,3,483,1121,94,0,1,5,5,67,1,1,1,2,1,4,1,1,3,4,2
KAOHSIUNG,68,1,0,4,371,2029,63,1,1,4,3,64,1,1,1,2,1,4,1,1,3,3,3
CAPE TOWN,43,4,1,3,113,662,41,1,1,6,5,59,0,0,1,2,1,4,1,1,2,3,1
FUZHOU,45,3,0,5,149,1870,7,0,0,3,3,57,1,1,1,2,1,4,1,1,1,1,3
MONTEVIDEO,74,1,1,3,95,367,29,0,1,4,3,52,0,0,1,2,1,4,1,1,2,3,1
WEIHAI,45,3,0,5,266,1693,226,1,0,1,3,36,1,1,1,2,1,4,1,1,3,4,3
PORTO GRANDE(MINDELO),60,1,1,2,26,360,5,1,1,4,5,34,1,1,1,2,1,2,1,1,1,1,1
BANGKOK,36,1,1,4,108,4084,4,1,1,4,4,17,0,0,1,2,1,4,1,1,1,1,3
RABAUL,30,1,0,1,4,772,0,2,1,3,3,17,0,0,0,2,1,1,1,0,1,1,2
CALLAO,36,1,1,2,62,149,16,0,1,6,5,14,0,0,1,2,1,3,1,1,2,2,1
COLON,36,3,1,3,7,611,0,1,0,4,2,14,1,1,1,2,1,1,1,0,1,1,1
Panama City Port(Balboa),36,3,1,3,100,898,1,0,1,5,4,13,1,1,1,2,1,4,1,1,1,1,2
PORT ELIZABETH,43,4,1,3,29,245,8,0,1,5,5,12,0,0,1,2,1,3,1,1,1,1,1
SUVA,53,1,1,2,32,619,10,0,1,2,3,12,0,0,1,2,1,3,1,1,1,2,1
LEVUKA,53,1,1,2,1,527,0,0,1,3,2,9,0,0,1,2,1,1,1,0,1,1,1
VICTORIA,70,3,1,1,44,311,10,1,1,5,5,8,0,0,0,2,1,3,1,1,1,2,1
WALVIS BAY,49,4,1,1,47,1504,16,1,1,5,5,8,1,1,0,2,1,3,1,1,2,2,2
DALIAN,45,3,0,5,305,1715,1,2,1,4,4,7,1,1,1,2,1,4,1,1,1,1,3
SHIMIZU,73,5,1,1,31,604,4,0,1,5,5,7,0,0,0,2,1,3,1,1,1,1,1
TEMA,43,1,1,2,37,1269,0,2,1,5,5,7,1,1,1,2,1,3,1,0,1,1,2
HONIARA,42,1,0,1,6,775,0,2,1,3,4,6,1,1,0,2,1,1,1,0,1,1,2
